number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#242570,7/10/2021,7/10/2021,51.5,84.31,AU,125.23,0,TRUE,27.8008,32.97%
#242569,7/10/2021,7/10/2021,15.75,32.62,US,44.61,1.58,FALSE,13.5056,41.40%
#242568,7/10/2021,7/10/2021,7,14.7,US,26.69,0,FALSE,6.6324,45.12%
#242567,7/10/2021,7/10/2021,51.15,77.76,US,84.75,0,TRUE,23.22,29.86%
#242566,7/10/2021,7/10/2021,44.94,75.78,US,88.26,0,TRUE,27.3096,36.04%
#242565,7/10/2021,7/10/2021,33,58.46,US,70.45,4.95,FALSE,17.692,30.26%
#242563,7/10/2021,7/10/2021,39.21,82.37,US,89.36,8.1,TRUE,31.4856,38.22%
#242562,7/10/2021,7/10/2021,46.7,99.16,US,106.15,11.85,TRUE,36.364,36.67%
#242561,7/10/2021,7/10/2021,24.25,40.59,US,52.58,0,FALSE,14.2368,35.07%
#242560,7/10/2021,7/10/2021,22.7,41.01,US,53,0,FALSE,16.19,39.48%
