number,Date,date1,total_cost,subtotal,country,total_payed,excise_tax,free_shipping,Margin $,Margin %
#233067,4/22/2021,4/22/2021,31.25,53.4,US,72.26,0,FALSE,19.2596,36.07%
#233066,4/22/2021,4/22/2021,143.95,243.09,US,250.08,0,TRUE,89.1368,36.67%
#233065,4/22/2021,4/22/2021,41.43,54,US,77.09,0,FALSE,9.4864,17.57%
#233064,4/22/2021,4/22/2021,5.5,11.67,US,26.66,0,FALSE,5.1036,43.73%
#233063,4/22/2021,4/22/2021,6.25,12.96,US,28.89,0,FALSE,5.5544,42.86%
#233062,4/22/2021,4/22/2021,45.01,85.19,US,92.18,0,TRUE,36.4928,42.84%
#233061,4/22/2021,4/22/2021,33.3,80.18,US,94.79,0,TRUE,43.0884,53.74%
#233060,4/22/2021,4/22/2021,105.5,162.18,AU,231.34,0,TRUE,47.4264,29.24%
#233059,4/22/2021,4/22/2021,22.89,55.98,US,93.37,0,FALSE,29.3552,52.44%
#233057,4/22/2021,4/22/2021,22.5,43.01,US,62.06,0,FALSE,18.0276,41.91%
#233056,4/22/2021,4/22/2021,123.39,210.81,US,233.07,0,TRUE,78.0972,37.05%
#233055,4/22/2021,4/22/2021,18.75,37.84,US,52.83,0,FALSE,16.9768,44.86%
#233054,4/22/2021,4/22/2021,30,48.18,US,63.17,0,FALSE,15.6532,32.49%
#233053,4/22/2021,4/22/2021,24,41.14,US,65.26,0,FALSE,14.5296,35.32%
#233051,4/22/2021,4/22/2021,51.25,86.65,US,99.92,0,TRUE,31.4032,36.24%
#233050,4/22/2021,4/22/2021,70,137.01,US,144,0,TRUE,61.25,44.70%
#233049,4/22/2021,4/22/2021,10.98,18.99,US,36.27,0,FALSE,6.5592,34.54%
#233048,4/22/2021,4/22/2021,27.5,75.8,US,88.78,0,TRUE,44.7488,59.04%
#233046,4/22/2021,4/22/2021,70,108.77,US,123.65,0,TRUE,33.824,31.10%
#233045,4/22/2021,4/22/2021,47.84,81.53,US,96.27,0,TRUE,29.8392,36.60%
#233044,4/22/2021,4/22/2021,6.25,12.69,US,27.68,0,FALSE,5.3328,42.02%
#233042,4/22/2021,4/22/2021,75,145.28,US,181.76,0,TRUE,63.0096,43.37%
#233040,4/22/2021,4/22/2021,60.15,96.6,US,122.85,0,TRUE,31.536,32.65%
#233039,4/22/2021,4/22/2021,16.48,32.99,US,51.21,0,FALSE,14.4616,43.84%
#233038,4/22/2021,4/22/2021,32,43.96,US,58.95,0,FALSE,9.602,21.84%
#233037,4/22/2021,4/22/2021,35,55.63,US,74.65,0,FALSE,17.644,31.72%
#233036,4/22/2021,4/22/2021,49.55,81.27,US,104.94,0,TRUE,27.5224,33.87%
#233035,4/22/2021,4/22/2021,47.2,83.18,US,104.21,0,TRUE,31.8116,38.24%
#233034,4/22/2021,4/22/2021,73.51,131.63,US,138.62,0,TRUE,52.5752,39.94%
#233033,4/22/2021,4/22/2021,49.96,78.98,US,85.97,0,TRUE,25.5812,32.39%
#233032,4/22/2021,4/22/2021,58.2,85.85,US,92.84,0,TRUE,23.9364,27.88%
#233031,4/22/2021,4/22/2021,88.85,165.45,US,206.09,0,TRUE,68.3564,41.32%
#233030,4/21/2021,4/21/2021,52,107.49,US,126.03,0,TRUE,50.4488,46.93%
#233029,4/21/2021,4/21/2021,47.48,97.6,US,112.59,0,TRUE,45.6164,46.74%
#233028,4/21/2021,4/21/2021,54.14,103.1,US,139.61,0,TRUE,43.3756,42.07%
#233025,4/21/2021,4/21/2021,35.25,66.09,US,81.08,0,FALSE,27.5968,41.76%
#233022,4/21/2021,4/21/2021,28,52.19,US,67.18,0,FALSE,21.5028,41.20%
#233021,4/21/2021,4/21/2021,165.25,282.17,US,309.61,0,TRUE,104.5356,37.05%
#233020,4/21/2021,4/21/2021,30.88,63.69,US,82.5,0,FALSE,29.51,46.33%
#233019,4/21/2021,4/21/2021,47.54,69.84,US,84.83,0,FALSE,18.9068,27.07%
#233018,4/21/2021,4/21/2021,6.5,12.6,US,35.09,0,FALSE,4.6964,37.27%
#233017,4/21/2021,4/21/2021,25,48.73,US,63.72,0,FALSE,21.1812,43.47%
#233016,4/21/2021,4/21/2021,30,76.38,US,83.37,0,TRUE,43.0452,56.36%
#233015,4/21/2021,4/21/2021,66,104.29,US,120.85,0,TRUE,33.456,32.08%
#233014,4/21/2021,4/21/2021,39,81.86,US,96.85,0,TRUE,38.986,47.63%
#233013,4/21/2021,4/21/2021,17,30.3,US,48.01,0,FALSE,11.3796,37.56%
#233012,4/21/2021,4/21/2021,65.9,161.35,US,168.34,0,TRUE,88.7164,54.98%
#233011,4/21/2021,4/21/2021,33.76,50.09,US,68.71,0,FALSE,13.5816,27.11%
#233010,4/21/2021,4/21/2021,77,129.75,US,146.15,0,TRUE,46.904,36.15%
#233009,4/21/2021,4/21/2021,14.65,27.87,US,42.86,0,FALSE,11.5056,41.28%
#233008,4/21/2021,4/21/2021,66.5,97.77,US,104.76,0,TRUE,27.0796,27.70%
#233007,4/21/2021,4/21/2021,53.5,83.72,US,90.71,0,TRUE,26.5916,31.76%
#233006,4/21/2021,4/21/2021,66,82.7,US,89.69,0,TRUE,13.1124,15.86%
#233005,4/21/2021,4/21/2021,20.4,37.5,US,52.49,0,FALSE,15.0004,40.00%
#233004,4/21/2021,4/21/2021,50,78.94,US,85.93,0,TRUE,25.5028,32.31%
#233003,4/21/2021,4/21/2021,21.96,33.39,US,48.38,0,FALSE,9.4948,28.44%
#233002,4/21/2021,4/21/2021,33.5,69.35,US,89.37,0,FALSE,32.2752,46.54%
#233001,4/21/2021,4/21/2021,30.36,47.71,US,62.7,0,FALSE,14.842,31.11%
#233000,4/21/2021,4/21/2021,30.02,76.7,US,83.69,0,TRUE,43.3324,56.50%
#232999,4/21/2021,4/21/2021,38.15,88.32,US,101.75,0,TRUE,46.1,52.20%
#232998,4/21/2021,4/21/2021,44.49,87.37,US,94.36,0,TRUE,39.1056,44.76%
#232997,4/21/2021,4/21/2021,60.27,127.66,US,134.65,0,TRUE,62.004,48.57%
#232996,4/21/2021,4/21/2021,25,49.76,US,64.75,0,FALSE,22.17,44.55%
#232995,4/21/2021,4/21/2021,55,109.6,US,116.59,0,TRUE,49.9364,45.56%
#232994,4/21/2021,4/21/2021,42.02,80,US,86.99,0,TRUE,34.5004,43.13%
#232993,4/21/2021,4/21/2021,48.25,92.03,US,99.02,0,TRUE,39.8192,43.27%
#232992,4/21/2021,4/21/2021,35,61.99,US,76.98,0,FALSE,23.9108,38.57%
#232991,4/21/2021,4/21/2021,7.25,14.8,US,29.79,0,FALSE,6.3584,42.96%
#232990,4/21/2021,4/21/2021,6.25,12.96,US,31.44,0,FALSE,5.4524,42.07%
#232989,4/21/2021,4/21/2021,29.5,55.52,US,78.83,0,FALSE,22.8668,41.19%
#232988,4/21/2021,4/21/2021,37.5,63.94,IL,115.19,0,FALSE,21.8324,34.15%
#232987,4/21/2021,4/21/2021,11,24.88,US,39.87,0,FALSE,12.2852,49.38%
#232986,4/21/2021,4/21/2021,94.75,161.65,AU,225.4,0,TRUE,57.884,35.81%
#232985,4/21/2021,4/21/2021,43.9,91.49,US,98.48,0,TRUE,43.6508,47.71%
#232984,4/21/2021,4/21/2021,78,115.59,US,122.58,0,TRUE,32.6868,28.28%
#232983,4/21/2021,4/21/2021,22,43.86,JP,97.68,0,FALSE,17.9528,40.93%
#232982,4/21/2021,4/21/2021,45.84,86.08,US,101.07,0,TRUE,36.1972,42.05%
#232981,4/21/2021,4/21/2021,37.5,70.81,US,100.86,0,FALSE,29.2756,41.34%
#232980,4/21/2021,4/21/2021,27.34,57.17,US,77.03,0,FALSE,26.7488,46.79%
#232979,4/21/2021,4/21/2021,53.25,79.61,US,86.6,0,TRUE,22.896,28.76%
#232978,4/21/2021,4/21/2021,15.7,24.98,US,39.97,0,FALSE,7.6812,30.75%
#232977,4/21/2021,4/21/2021,25,47.71,US,62.7,0,FALSE,20.202,42.34%
#232976,4/21/2021,4/21/2021,26,47.34,US,62.33,0,FALSE,18.8468,39.81%
#232975,4/21/2021,4/21/2021,25,46.41,US,61.4,0,FALSE,18.954,40.84%
#232974,4/21/2021,4/21/2021,0,68.83,AU,121.75,0,FALSE,63.96,92.92%
#232973,4/21/2021,4/21/2021,18.44,40.41,US,64.38,0,FALSE,19.3948,48.00%
#232972,4/21/2021,4/21/2021,125.75,235.15,QA,295.81,0,TRUE,97.5676,41.49%
#232971,4/21/2021,4/21/2021,7.25,17.55,US,32.54,0,FALSE,8.9984,51.27%
#232970,4/21/2021,4/21/2021,31.25,59.33,US,74.32,0,FALSE,25.1072,42.32%
#232969,4/21/2021,4/21/2021,39.69,64.86,US,84.55,0,FALSE,21.788,33.59%
#232968,4/21/2021,4/21/2021,14,26.65,US,41.64,0,FALSE,10.9844,41.22%
#232967,4/21/2021,4/21/2021,43,72.57,US,87.56,0,FALSE,26.0676,35.92%
#232966,4/21/2021,4/21/2021,44.48,86.5,US,93.49,0,TRUE,38.2804,44.25%
#232965,4/21/2021,4/21/2021,120,70.64,US,90.33,0,FALSE,-52.9732,-74.99%
#232964,4/21/2021,4/21/2021,43.25,82.15,US,89.14,0,TRUE,35.3344,43.01%
#232963,4/21/2021,4/21/2021,6.5,13.08,US,28.07,0,FALSE,5.4572,41.72%
#232962,4/21/2021,4/21/2021,21,50.59,US,65.58,0,FALSE,26.9668,53.30%
#232961,4/21/2021,4/21/2021,22.09,44.89,US,59.88,0,FALSE,20.4048,45.46%
#232960,4/21/2021,4/21/2021,21,43.01,US,58,0,FALSE,19.69,45.78%
#232959,4/21/2021,4/21/2021,42.75,75.1,US,97.53,0,TRUE,28.4488,37.88%
#232958,4/21/2021,4/21/2021,66,89,US,95.99,0,TRUE,19.1604,21.53%
#232957,4/21/2021,4/21/2021,28,46.74,US,61.73,0,FALSE,16.2708,34.81%
#232956,4/21/2021,4/21/2021,11,25.15,US,41.96,0,FALSE,12.4716,49.59%
#232955,4/21/2021,4/21/2021,13,20.85,US,35.84,0,FALSE,6.4164,30.77%
#232954,4/21/2021,4/21/2021,24.75,36.15,US,53.76,0,FALSE,9.2496,25.59%
#232953,4/21/2021,4/21/2021,61,98.2,US,105.19,0,TRUE,32.9924,33.60%
#232952,4/21/2021,4/21/2021,36.7,66.42,US,81.41,0,FALSE,26.4636,39.84%
#232951,4/21/2021,4/21/2021,0,78.28,US,85.27,0,TRUE,74.8692,95.64%
#232950,4/21/2021,4/21/2021,79.99,155.26,US,186.24,0,TRUE,67.8204,43.68%
#232949,4/21/2021,4/21/2021,21,31.09,US,46.08,0,FALSE,8.2468,26.53%
#232948,4/21/2021,4/21/2021,17.55,42.07,US,60.64,0,FALSE,22.0944,52.52%
#232947,4/21/2021,4/21/2021,49.5,78.62,US,85.61,0,TRUE,25.6956,32.68%
#232946,4/21/2021,4/21/2021,34,75.67,US,89.77,0,TRUE,38.0792,50.32%
#232945,4/21/2021,4/21/2021,6.25,11.67,US,28.35,0,FALSE,4.286,36.73%
#232944,4/21/2021,4/21/2021,19.65,43.17,US,58.16,0,FALSE,21.1936,49.09%
#232943,4/21/2021,4/21/2021,69.59,123.84,US,130.83,0,TRUE,49.0168,39.58%
#232942,4/21/2021,4/21/2021,73.6,123.78,US,130.77,0,TRUE,44.9492,36.31%
#232941,4/21/2021,4/21/2021,13,26.16,US,41.15,0,FALSE,11.514,44.01%
#232940,4/21/2021,4/21/2021,45.19,81.16,US,88.15,0,TRUE,32.444,39.98%
#232939,4/21/2021,4/21/2021,0,31.71,US,46.7,0,FALSE,29.842,94.11%
#232938,4/21/2021,4/21/2021,60,100.82,US,118.15,0,TRUE,36.094,35.80%
#232937,4/21/2021,4/21/2021,12.5,21.93,US,36.92,0,FALSE,7.9532,36.27%
#232936,4/21/2021,4/21/2021,12.95,28.79,US,43.78,0,FALSE,14.0888,48.94%
#232935,4/21/2021,4/21/2021,19.95,41.62,US,56.61,0,FALSE,19.4056,46.63%
#232934,4/21/2021,4/21/2021,57.98,105.94,US,132.91,0,TRUE,42.6436,40.25%
#232932,4/21/2021,4/21/2021,28.6,93.58,US,100.57,0,TRUE,60.9572,65.14%
#232931,4/21/2021,4/21/2021,10.5,20.13,US,35.12,0,FALSE,8.2252,40.86%
#232929,4/21/2021,4/21/2021,55,106.61,US,135.48,0,TRUE,46.1908,43.33%
#232928,4/21/2021,4/21/2021,84,136.12,US,152.98,0,TRUE,46.0008,33.79%
#232927,4/21/2021,4/21/2021,11,50.79,US,65.78,0,FALSE,37.1588,73.16%
#232926,4/21/2021,4/21/2021,51.82,81.1,US,88.09,0,TRUE,25.7564,31.76%
#232925,4/21/2021,4/21/2021,71,115.68,US,122.67,0,TRUE,39.7732,34.38%
#232924,4/21/2021,4/21/2021,12,27.26,US,42.25,0,FALSE,13.57,49.78%
#232923,4/21/2021,4/21/2021,47.04,85.57,US,126.79,0,TRUE,33.4584,39.10%
#232922,4/21/2021,4/21/2021,42.75,76.17,US,90.4,0,TRUE,29.804,39.13%
#232921,4/21/2021,4/21/2021,152.76,220.05,US,227.04,0,TRUE,58.2084,26.45%
#232920,4/21/2021,4/21/2021,52.75,85.03,US,92.02,0,TRUE,28.5992,33.63%
#232919,4/21/2021,4/21/2021,12.5,24.88,US,39.87,0,FALSE,10.7852,43.35%
#232918,4/21/2021,4/21/2021,18.75,32.56,US,47.55,0,FALSE,11.908,36.57%
#232917,4/21/2021,4/21/2021,53,85.43,US,92.42,0,TRUE,28.7332,33.63%
#232916,4/21/2021,4/21/2021,44.59,76.22,US,83.21,0,TRUE,28.3016,37.13%
#232914,4/21/2021,4/21/2021,43.25,53.49,US,72.36,0,FALSE,7.3456,13.73%
#232913,4/21/2021,4/21/2021,30.56,95.72,US,102.71,0,TRUE,61.0516,63.78%
#232912,4/21/2021,4/21/2021,19.5,34.98,US,49.97,0,FALSE,13.4812,38.54%
#232911,4/21/2021,4/21/2021,29.5,57.8,US,81.47,0,FALSE,25.0412,43.32%
#232910,4/21/2021,4/21/2021,37,92.17,US,105.84,0,TRUE,50.9364,55.26%
#232908,4/20/2021,4/20/2021,38.5,82.3,QA,134.12,0,TRUE,38.4352,46.70%
#232907,4/20/2021,4/20/2021,84.9,181.28,US,188.27,0,TRUE,88.8492,49.01%
#232905,4/20/2021,4/20/2021,25,55.28,US,70.27,0,FALSE,27.4692,49.69%
#232904,4/20/2021,4/20/2021,0,108.93,US,115.92,0,TRUE,104.2932,95.74%
#232903,4/20/2021,4/20/2021,47.15,72.06,US,87.05,0,FALSE,21.428,29.74%
#232902,4/20/2021,4/20/2021,6,13.02,US,28.01,0,FALSE,5.8996,45.31%
#232899,4/20/2021,4/20/2021,37.5,72.07,US,87.06,0,FALSE,31.0876,43.14%
#232898,4/20/2021,4/20/2021,24,89.92,US,96.91,0,TRUE,62.0436,69.00%
#232897,4/20/2021,4/20/2021,74.31,135.31,US,150.3,0,TRUE,54.988,40.64%
#232896,4/20/2021,4/20/2021,12.5,24.36,US,42.01,0,FALSE,10.1796,41.79%
#232895,4/20/2021,4/20/2021,39.85,76.31,US,90.52,0,TRUE,32.8392,43.03%
#232894,4/20/2021,4/20/2021,39.43,74.7,US,89.69,0,FALSE,31.6824,42.41%
#232893,4/20/2021,4/20/2021,40.7,74.57,US,94.97,0,FALSE,30.0712,40.33%
#232892,4/20/2021,4/20/2021,6.5,13.08,US,28.07,0,FALSE,5.4572,41.72%
#232891,4/20/2021,4/20/2021,22,40.01,US,57.9,0,FALSE,15.694,39.23%
#232889,4/20/2021,4/20/2021,55,94.76,US,101.75,0,TRUE,35.69,37.66%
#232888,4/20/2021,4/20/2021,31.25,59.33,US,74.32,0,FALSE,25.1072,42.32%
#232887,4/20/2021,4/20/2021,28,45.58,US,60.57,0,FALSE,15.1572,33.25%
#232886,4/20/2021,4/20/2021,6.25,11.43,US,28.01,0,FALSE,4.0596,35.52%
#232885,4/20/2021,4/20/2021,42.5,78.85,US,97.67,0,TRUE,32.4432,41.15%
#232884,4/20/2021,4/20/2021,33.25,56.88,US,71.87,0,FALSE,20.7552,36.49%
#232883,4/20/2021,4/20/2021,45.5,86.79,US,101.78,0,TRUE,37.2188,42.88%
#232882,4/20/2021,4/20/2021,33.55,81.21,US,94.09,0,TRUE,43.8964,54.05%
#232881,4/20/2021,4/20/2021,52.2,101.1,US,117.69,0,TRUE,44.1924,43.71%
#232879,4/20/2021,4/20/2021,18.5,31.57,US,46.56,0,FALSE,11.2076,35.50%
#232878,4/20/2021,4/20/2021,32,53.46,US,68.45,0,FALSE,18.722,35.02%
#232877,4/20/2021,4/20/2021,39.55,91.59,US,107.28,0,TRUE,47.7488,52.13%
#232876,4/20/2021,4/20/2021,32.5,60.59,US,81.33,0,FALSE,24.8368,40.99%
#232875,4/20/2021,4/20/2021,47,85.09,US,92.08,0,TRUE,34.4068,40.44%
#232874,4/20/2021,4/20/2021,43.75,75.53,US,82.52,0,TRUE,28.4792,37.71%
#232873,4/20/2021,4/20/2021,34.5,83.99,US,98.98,0,TRUE,45.5308,54.21%
#232872,4/20/2021,4/20/2021,0,40.27,US,58.18,0,FALSE,37.9428,94.22%
#232871,4/20/2021,4/20/2021,48,77.41,US,100.3,0,TRUE,25.398,32.81%
#232870,4/20/2021,4/20/2021,67.25,118.08,US,125.07,0,TRUE,45.8272,38.81%
#232869,4/20/2021,4/20/2021,39.58,87.4,US,102.39,0,TRUE,43.7244,50.03%
#232868,4/20/2021,4/20/2021,10,16.95,US,31.94,0,FALSE,5.6724,33.47%
#232867,4/20/2021,4/20/2021,42.68,96.01,US,110.21,0,TRUE,48.9216,50.95%
#232866,4/20/2021,4/20/2021,46.86,92.14,US,106.07,0,TRUE,41.0372,44.54%
#232865,4/20/2021,4/20/2021,90.41,142.38,US,157.37,0,TRUE,45.6752,32.08%
#232864,4/20/2021,4/20/2021,0,121.34,CA,157.06,0,TRUE,115.0576,94.82%
#232863,4/20/2021,4/20/2021,59.99,82.55,US,89.54,0,TRUE,18.9784,22.99%
#232862,4/20/2021,4/20/2021,35.32,85.8,US,92.79,0,TRUE,46.7684,54.51%
#232861,4/20/2021,4/20/2021,39,109.02,US,116.01,0,TRUE,65.3796,59.97%
#232860,4/20/2021,4/20/2021,10.98,18.99,US,33.98,0,FALSE,6.6508,35.02%
#232859,4/20/2021,4/20/2021,54.4,112.68,KR,162.13,0,TRUE,51.7948,45.97%
#232858,4/20/2021,4/20/2021,46.2,95.77,US,122.33,0,TRUE,44.6768,46.65%
#232857,4/20/2021,4/20/2021,42,79.12,US,94.11,0,TRUE,33.3556,42.16%
#232856,4/20/2021,4/20/2021,7.5,14.64,US,33.46,0,FALSE,5.8016,39.63%
#232855,4/20/2021,4/20/2021,52.5,92.25,US,99.24,0,TRUE,35.7804,38.79%
#232854,4/20/2021,4/20/2021,46.95,80.75,US,105.41,0,TRUE,29.5836,36.64%
#232853,4/20/2021,4/20/2021,42.22,76.95,US,88.55,0,TRUE,31.188,40.53%
#232852,4/20/2021,4/20/2021,47.85,123.46,US,130.45,0,TRUE,70.392,57.02%
#232851,4/20/2021,4/20/2021,11.35,31.99,US,49.3,0,FALSE,18.668,58.36%
#232850,4/20/2021,4/20/2021,56.15,94.27,US,108.09,0,TRUE,33.7964,35.85%
#232849,4/20/2021,4/20/2021,77,142.34,US,149.33,0,TRUE,59.3668,41.71%
#232847,4/20/2021,4/20/2021,15,31.32,US,53.47,0,FALSE,14.1812,45.28%
#232846,4/20/2021,4/20/2021,57.5,87.63,US,112.57,0,TRUE,25.6272,29.24%
#232845,4/20/2021,4/20/2021,0,46.37,US,65.8,0,FALSE,43.738,94.32%
#232844,4/20/2021,4/20/2021,6.25,12.96,US,27.95,0,FALSE,5.592,43.15%
#232843,4/20/2021,4/20/2021,118,176.93,US,183.92,0,TRUE,51.5732,29.15%
#232842,4/20/2021,4/20/2021,55,114.93,US,129.92,0,TRUE,54.7332,47.62%
#232841,4/20/2021,4/20/2021,19.5,37.28,US,52.27,0,FALSE,15.6892,42.08%
#232840,4/20/2021,4/20/2021,23.1,48.76,US,63.75,0,FALSE,23.11,47.40%
#232839,4/20/2021,4/20/2021,12.5,75.05,US,87.48,0,TRUE,59.0508,78.68%
#232838,4/20/2021,4/20/2021,28,50.09,US,65.08,0,FALSE,19.4868,38.90%
#232837,4/20/2021,4/20/2021,64,112.86,US,119.85,0,TRUE,44.066,39.04%
#232836,4/20/2021,4/20/2021,21.85,36.61,US,51.6,0,FALSE,12.696,34.68%
#232835,4/20/2021,4/20/2021,22.15,51.2,US,71.4,0,FALSE,26.194,51.16%
#232834,4/20/2021,4/20/2021,25,86.56,US,119.76,0,TRUE,56.7696,65.58%
#232833,4/20/2021,4/20/2021,38.5,77.03,US,84.02,0,TRUE,35.1692,45.66%
#232832,4/20/2021,4/20/2021,27.65,52.52,US,67.51,0,FALSE,22.1696,42.21%
#232831,4/20/2021,4/20/2021,56,87.36,US,94.35,0,TRUE,27.586,31.58%
#232830,4/20/2021,4/20/2021,86.4,152.23,US,170.26,0,TRUE,59.0196,38.77%
#232829,4/20/2021,4/20/2021,18,35.23,US,50.22,0,FALSE,15.2212,43.21%
#232828,4/20/2021,4/20/2021,12.5,19.46,US,34.45,0,FALSE,5.582,28.68%
#232826,4/20/2021,4/20/2021,38.5,86.7,US,99.31,0,TRUE,44.2276,51.01%
#232824,4/20/2021,4/20/2021,50.7,105.87,US,120.53,0,TRUE,50.3488,47.56%
#232823,4/20/2021,4/20/2021,271.11,436.5,US,531.21,0,TRUE,144.1416,33.02%
#232822,4/20/2021,4/20/2021,26,44.27,US,62.51,0,FALSE,15.7696,35.62%
#232818,4/20/2021,4/20/2021,63.68,92.33,US,99.32,0,TRUE,24.6772,26.73%
#232817,4/20/2021,4/20/2021,10.24,19.8,US,34.79,0,FALSE,8.1684,41.25%
#232815,4/20/2021,4/20/2021,37.55,75.59,US,82.58,0,TRUE,34.7368,45.95%
#232814,4/20/2021,4/20/2021,43.7,79.05,US,86.04,0,TRUE,31.9084,40.36%
#232813,4/20/2021,4/20/2021,29.85,72.41,US,87.4,0,FALSE,39.064,53.95%
#232812,4/20/2021,4/20/2021,127.5,231.39,US,238.38,0,TRUE,94.3548,40.78%
#232811,4/20/2021,4/20/2021,21.25,39.04,US,54.03,0,FALSE,15.6288,40.03%
#232809,4/20/2021,4/20/2021,0,131.69,US,147.48,0,TRUE,125.7908,95.52%
#232808,4/20/2021,4/20/2021,47.39,85.52,US,100.63,0,TRUE,34.1048,39.88%
#232806,4/20/2021,4/20/2021,49,91.97,US,98.96,0,TRUE,39.0116,42.42%
#232805,4/20/2021,4/20/2021,35.13,80.68,US,87.67,0,TRUE,42.0432,52.11%
#232804,4/20/2021,4/20/2021,16.5,34.36,US,49.35,0,FALSE,15.886,46.23%
#232803,4/20/2021,4/20/2021,70.25,115.41,US,138.77,0,TRUE,39.6092,34.32%
#232801,4/20/2021,4/20/2021,42.07,84.24,US,91.23,0,TRUE,38.5208,45.73%
#232799,4/20/2021,4/20/2021,13,25.11,US,40.1,0,FALSE,10.506,41.84%
#232798,4/20/2021,4/20/2021,22,110.52,US,128.85,0,TRUE,83.366,75.43%
#232797,4/20/2021,4/20/2021,19.5,35.89,US,50.88,0,FALSE,14.3548,40.00%
#232794,4/20/2021,4/20/2021,0,47.45,US,62.44,0,FALSE,44.9524,94.74%
#232792,4/20/2021,4/20/2021,22,48.73,US,63.72,0,FALSE,24.1812,49.62%
#232791,4/20/2021,4/20/2021,77.37,139.38,US,159.6,0,TRUE,55.626,39.91%
#232790,4/20/2021,4/20/2021,42,82.58,US,89.57,0,TRUE,36.9972,44.80%
#232789,4/20/2021,4/20/2021,14.86,32.2,US,47.19,0,FALSE,15.4524,47.99%
#232788,4/20/2021,4/20/2021,60,135.27,US,142.26,0,TRUE,69.5796,51.44%
#232787,4/20/2021,4/20/2021,23.48,72.81,US,93.72,0,FALSE,45.5812,62.60%
#232786,4/20/2021,4/20/2021,8.69,19.69,US,36.56,0,FALSE,9.5376,48.44%
#232785,4/20/2021,4/20/2021,12,19.01,US,35.81,0,FALSE,5.5776,29.34%
#232784,4/20/2021,4/20/2021,29.5,59.55,US,87.36,0,FALSE,26.5556,44.59%
#232783,4/20/2021,4/20/2021,40.75,82.37,US,95.33,0,TRUE,37.8068,45.90%
#232779,4/19/2021,4/19/2021,24,38.56,US,59.33,0,FALSE,12.1868,31.60%
#232778,4/19/2021,4/19/2021,12.5,25.07,US,40.06,0,FALSE,10.9676,43.75%
#232777,4/19/2021,4/19/2021,0,66.41,US,86.21,0,FALSE,62.9616,94.81%
#232776,4/19/2021,4/19/2021,81.94,147.51,US,162.5,0,TRUE,59.07,40.04%
#232774,4/19/2021,4/19/2021,54,96.16,US,103.15,0,TRUE,38.034,39.55%
#232773,4/19/2021,4/19/2021,39.5,69.27,US,89.28,0,FALSE,26.1988,37.82%
#232772,4/19/2021,4/19/2021,33,65.09,US,80.08,0,FALSE,28.8868,44.38%
#232771,4/19/2021,4/19/2021,18.5,29.45,US,44.44,0,FALSE,9.1724,31.15%
#232769,4/19/2021,4/19/2021,49,76.86,US,83.85,0,TRUE,24.506,31.88%
#232766,4/19/2021,4/19/2021,21,38.69,US,53.68,0,FALSE,15.5428,40.17%
#232765,4/19/2021,4/19/2021,43.5,83.26,US,90.25,0,TRUE,36.15,43.42%
#232764,4/19/2021,4/19/2021,29,50.28,US,68.92,0,FALSE,18.5232,36.84%
#232763,4/19/2021,4/19/2021,9.5,27.05,US,42.04,0,FALSE,15.8684,58.66%
#232761,4/19/2021,4/19/2021,71.7,137.85,US,165.52,0,TRUE,59.5292,43.18%
#232760,4/19/2021,4/19/2021,16.5,27.05,US,42.04,0,FALSE,8.8684,32.79%
#232759,4/19/2021,4/19/2021,0,90.8,US,97.79,0,TRUE,86.8884,95.69%
#232758,4/19/2021,4/19/2021,16.88,25.58,US,42.42,0,FALSE,7.0032,27.38%
#232757,4/19/2021,4/19/2021,15.78,34.17,US,54.29,0,FALSE,16.2184,47.46%
#232756,4/19/2021,4/19/2021,50.9,97.19,US,112.18,0,TRUE,41.8028,43.01%
#232755,4/19/2021,4/19/2021,7,34.23,US,52.48,0,FALSE,25.1308,73.42%
#232754,4/19/2021,4/19/2021,42.96,78.51,US,85.5,0,TRUE,32.13,40.92%
#232753,4/19/2021,4/19/2021,36.5,68.98,US,83.97,0,FALSE,29.1212,42.22%
#232752,4/19/2021,4/19/2021,41.95,65.99,US,80.98,0,FALSE,20.8008,31.52%
#232751,4/19/2021,4/19/2021,36,79.24,US,86.23,0,TRUE,39.7908,50.22%
#232750,4/19/2021,4/19/2021,70,110.86,US,117.85,0,TRUE,36.146,32.61%
#232749,4/19/2021,4/19/2021,0,24.15,US,39.14,0,FALSE,22.5844,93.52%
#232748,4/19/2021,4/19/2021,20.68,46.83,US,65.21,0,FALSE,23.5416,50.27%
#232747,4/19/2021,4/19/2021,49.5,81.3,US,88.29,0,TRUE,28.2684,34.77%
#232746,4/19/2021,4/19/2021,20.04,42.12,US,66.43,0,FALSE,19.4228,46.11%
#232745,4/19/2021,4/19/2021,19.5,39.64,US,63.46,0,FALSE,17.6016,44.40%
#232744,4/19/2021,4/19/2021,65.69,109.95,US,116.94,0,TRUE,39.5824,36.00%
#232743,4/19/2021,4/19/2021,23,50.09,US,65.08,0,FALSE,24.4868,48.89%
#232742,4/19/2021,4/19/2021,24.5,33.46,US,48.45,0,FALSE,7.022,20.99%
#232741,4/19/2021,4/19/2021,51.57,82.87,US,95.86,0,TRUE,27.4656,33.14%
#232740,4/19/2021,4/19/2021,153,251.82,US,258.81,0,TRUE,88.4676,35.13%
#232739,4/19/2021,4/19/2021,16.14,24.99,US,39.98,0,FALSE,7.2508,29.01%
